Place_Name,Total_Transactions_count,Total_Amount,Quarter,Year,State,MyIndex
shivamogga district,110195,155561860.94620702,1,2018,karnataka,6127
udupi district,102236,144516000.63165632,1,2018,karnataka,6128
gadag district,59137,58062529.1315764,1,2018,karnataka,6129
mysuru district,447047,897691678.2669395,2,2018,karnataka,6130
chitradurga district,126138,240516730.561774,2,2018,karnataka,6131
kalaburagi district,225202,465136527.9358756,2,2018,karnataka,6132
ramanagara district,180632,356041712.3585194,2,2018,karnataka,6133
mandya district,146602,280805271.0157244,2,2018,karnataka,6134
kodagu district,39093,83410947.73702285,2,2018,karnataka,6135
chikkamagaluru district,86011,153982332.6998345,2,2018,karnataka,6136
haveri district,85932,138186428.1561636,2,2018,karnataka,6137
ballari district,312869,626895300.6322386,2,2018,karnataka,6138
belagavi district,361190,565399486.7143972,2,2018,karnataka,6139
kolar district,185633,334688753.0247266,2,2018,karnataka,6140
uttara kannada district,115613,189355614.690955,2,2018,karnataka,6141
tumakuru district,259255,486561374.7814332,2,2018,karnataka,6142
yadgir district,66639,170819659.692977,2,2018,karnataka,6143
bengaluru urban district,11916035,23824727965.49048,2,2018,karnataka,6144
chikkaballapura district,156443,317528991.0463968,2,2018,karnataka,6145
davanagere district,195484,338624047.5558756,2,2018,karnataka,6146
bagalkote district,170303,258874636.4321019,2,2018,karnataka,6147
vijayapura district,189029,345417220.3185034,2,2018,karnataka,6148
koppal district,90682,159663391.4149981,2,2018,karnataka,6149
bidar district,201824,419997599.5748528,2,2018,karnataka,6150
bengaluru rural district,277565,586804990.4033923,2,2018,karnataka,6151
raichur district,190132,380694550.216869,2,2018,karnataka,6152
chamarajanagara district,45985,74364597.81797275,2,2018,karnataka,6153
dakshina kannada district,262880,453188212.40024096,2,2018,karnataka,6154
hassan district,131643,281290645.775151,2,2018,karnataka,6155
dharwad district,280837,449174522.0052944,2,2018,karnataka,6156
shivamogga district,152407,283096644.1799549,2,2018,karnataka,6157
udupi district,138827,240375464.3765934,2,2018,karnataka,6158
gadag district,78515,112264784.0252975,2,2018,karnataka,6159
mysuru district,637275,1288891514.570018,3,2018,karnataka,6160
chitradurga district,178075,364428579.919141,3,2018,karnataka,6161
kalaburagi district,322364,646610249.5756959,3,2018,karnataka,6162
ramanagara district,250107,531708693.8083697,3,2018,karnataka,6163
mandya district,215192,435712260.636139,3,2018,karnataka,6164
kodagu district,50067,101894557.14789373,3,2018,karnataka,6165
chikkamagaluru district,117401,222659779.4699691,3,2018,karnataka,6166
haveri district,123816,208898170.0414717,3,2018,karnataka,6167
ballari district,466759,923310407.3267276,3,2018,karnataka,6168
belagavi district,533530,845527722.6769543,3,2018,karnataka,6169
kolar district,306174,575358671.1529726,3,2018,karnataka,6170
uttara kannada district,158965,245792251.00648737,3,2018,karnataka,6171
tumakuru district,360361,761725760.4228042,3,2018,karnataka,6172
yadgir district,94615,238773314.8823272,3,2018,karnataka,6173
bengaluru urban district,18405424,33812835282.27632,3,2018,karnataka,6174
chikkaballapura district,206995,455657587.43727696,3,2018,karnataka,6175
davanagere district,262775,492038963.8930194,3,2018,karnataka,6176
bagalkote district,261382,386799858.107288,3,2018,karnataka,6177
vijayapura district,282023,544199069.9645603,3,2018,karnataka,6178
koppal district,137612,266476549.35384208,3,2018,karnataka,6179
bidar district,305909,592567176.6178123,3,2018,karnataka,6180
bengaluru rural district,436757,912516659.1974224,3,2018,karnataka,6181
raichur district,261036,534240617.6416866,3,2018,karnataka,6182
chamarajanagara district,67825,117401392.0894868,3,2018,karnataka,6183
dakshina kannada district,363684,664098740.3597008,3,2018,karnataka,6184
hassan district,209392,437626349.2873288,3,2018,karnataka,6185
dharwad district,431588,662938245.6847134,3,2018,karnataka,6186
shivamogga district,214984,403295006.7829832,3,2018,karnataka,6187
udupi district,192716,367215858.6763589,3,2018,karnataka,6188
gadag district,125458,183892465.8007349,3,2018,karnataka,6189
mysuru district,992071,1934191959.74634,4,2018,karnataka,6190
chitradurga district,260875,546653636.718746,4,2018,karnataka,6191
kalaburagi district,484662,1051812356.847889,4,2018,karnataka,6192
ramanagara district,439026,851555945.1183145,4,2018,karnataka,6193
mandya district,344532,720190472.7213625,4,2018,karnataka,6194
kodagu district,86516,173960980.5439664,4,2018,karnataka,6195
chikkamagaluru district,168715,342427224.4189781,4,2018,karnataka,6196
haveri district,185161,339306947.5389293,4,2018,karnataka,6197
ballari district,706744,1433381270.7836392,4,2018,karnataka,6198
belagavi district,790074,1380889164.0090702,4,2018,karnataka,6199
kolar district,560804,972325521.2040188,4,2018,karnataka,6200
uttara kannada district,243522,422226740.1253726,4,2018,karnataka,6201
tumakuru district,546317,1135663144.669897,4,2018,karnataka,6202
yadgir district,145371,362358443.4741473,4,2018,karnataka,6203
bengaluru urban district,33061353,50279165003.07312,4,2018,karnataka,6204
chikkaballapura district,362252,695025056.5925088,4,2018,karnataka,6205
davanagere district,406502,772186269.0594003,4,2018,karnataka,6206
bagalkote district,378816,616194423.7795491,4,2018,karnataka,6207
vijayapura district,407819,851094200.8525146,4,2018,karnataka,6208
koppal district,204253,424705014.5450421,4,2018,karnataka,6209
bidar district,420152,906044599.8161691,4,2018,karnataka,6210
bengaluru rural district,809772,1521114253.950878,4,2018,karnataka,6211
raichur district,392004,829979589.5310304,4,2018,karnataka,6212
chamarajanagara district,108505,203176036.8450142,4,2018,karnataka,6213
dakshina kannada district,572445,1035756925.127148,4,2018,karnataka,6214
hassan district,313128,708379494.3534096,4,2018,karnataka,6215
dharwad district,632389,1056146644.190937,4,2018,karnataka,6216
shivamogga district,305791,615205068.1171639,4,2018,karnataka,6217
udupi district,300804,535630124.88923,4,2018,karnataka,6218
gadag district,181696,291640063.4284113,4,2018,karnataka,6219
mysuru district,1927906,3156454954.693094,1,2019,karnataka,6220
chitradurga district,414641,810523100.9070721,1,2019,karnataka,6221
kalaburagi district,736201,1493727762.893432,1,2019,karnataka,6222
ramanagara district,928541,1444743612.79997,1,2019,karnataka,6223
mandya district,642364,1206557137.453528,1,2019,karnataka,6224
kodagu district,132175,255164153.1794364,1,2019,karnataka,6225
chikkamagaluru district,269535,513170969.2556799,1,2019,karnataka,6226
haveri district,296805,510705701.535235,1,2019,karnataka,6227
ballari district,1396502,2244647823.113589,1,2019,karnataka,6228
belagavi district,1476221,2143704811.908953,1,2019,karnataka,6229
kolar district,1051914,1634035507.1281612,1,2019,karnataka,6230
uttara kannada district,401079,582803226.8687099,1,2019,karnataka,6231
tumakuru district,926600,1788430415.4750211,1,2019,karnataka,6232
yadgir district,214448,529691468.6400221,1,2019,karnataka,6233
bengaluru urban district,65174133,82111161572.76288,1,2019,karnataka,6234
chikkaballapura district,668044,1181327350.827061,1,2019,karnataka,6235
davanagere district,678678,1235312216.1716862,1,2019,karnataka,6236
bagalkote district,765236,970277390.0547762,1,2019,karnataka,6237
vijayapura district,696701,1265405752.316557,1,2019,karnataka,6238
koppal district,355401,648740849.0448687,1,2019,karnataka,6239
bidar district,617247,1239943431.471709,1,2019,karnataka,6240
bengaluru rural district,1707501,2607054374.084066,1,2019,karnataka,6241
raichur district,610473,1244470857.745585,1,2019,karnataka,6242
chamarajanagara district,177125,307486834.4398674,1,2019,karnataka,6243
dakshina kannada district,1086942,1721495724.0678742,1,2019,karnataka,6244
hassan district,551975,1125284006.118117,1,2019,karnataka,6245
dharwad district,1312093,1848626654.975914,1,2019,karnataka,6246
shivamogga district,551200,993459723.8128774,1,2019,karnataka,6247
udupi district,493365,708575940.0412929,1,2019,karnataka,6248
gadag district,326563,453398821.9765245,1,2019,karnataka,6249
mysuru district,2641497,4532575333.011817,2,2019,karnataka,6250
chitradurga district,508856,1107532510.9053109,2,2019,karnataka,6251
kalaburagi district,826121,1904197997.78281,2,2019,karnataka,6252
ramanagara district,988447,1917887093.708691,2,2019,karnataka,6253
mandya district,785153,1675365826.731394,2,2019,karnataka,6254
kodagu district,183333,347619659.434138,2,2019,karnataka,6255
chikkamagaluru district,348482,700499292.0221097,2,2019,karnataka,6256
haveri district,326245,666468434.5274383,2,2019,karnataka,6257
ballari district,1510968,3020731081.771243,2,2019,karnataka,6258
belagavi district,1861710,3129078023.560843,2,2019,karnataka,6259
kolar district,1122326,2210613369.044175,2,2019,karnataka,6260
uttara kannada district,433761,739399034.5004739,2,2019,karnataka,6261
tumakuru district,1200397,2439881028.513705,2,2019,karnataka,6262
yadgir district,239850,676844338.0988811,2,2019,karnataka,6263
bengaluru urban district,89148659,113389910485.8992,2,2019,karnataka,6264
chikkaballapura district,794610,1630218604.7083008,2,2019,karnataka,6265
davanagere district,972408,1848844193.155179,2,2019,karnataka,6266
bagalkote district,704180,1285713396.802618,2,2019,karnataka,6267
vijayapura district,835718,1774819997.597894,2,2019,karnataka,6268
koppal district,417932,926600613.138814,2,2019,karnataka,6269
bidar district,649994,1544703339.669594,2,2019,karnataka,6270
bengaluru rural district,1994507,3457051861.64153,2,2019,karnataka,6271
raichur district,677977,1597335139.4970942,2,2019,karnataka,6272
chamarajanagara district,209517,417237665.640961,2,2019,karnataka,6273
dakshina kannada district,1632538,2960907502.219463,2,2019,karnataka,6274
hassan district,677980,1575389093.8205311,2,2019,karnataka,6275
dharwad district,2084046,3292543548.21006,2,2019,karnataka,6276
shivamogga district,785673,1476458316.79241,2,2019,karnataka,6277
udupi district,477100,795893292.4269867,2,2019,karnataka,6278
gadag district,361619,659704151.2505269,2,2019,karnataka,6279
mysuru district,4034380,5997469689.765679,3,2019,karnataka,6280
chitradurga district,724826,1321757015.6720638,3,2019,karnataka,6281
kalaburagi district,1249186,2394791825.402625,3,2019,karnataka,6282
ramanagara district,1333468,2330296690.661066,3,2019,karnataka,6283
mandya district,1131938,2134315021.9709752,3,2019,karnataka,6284
kodagu district,273544,422323264.2985822,3,2019,karnataka,6285
chikkamagaluru district,519469,866421227.2573984,3,2019,karnataka,6286
haveri district,446343,790256817.2883446,3,2019,karnataka,6287
ballari district,2172340,3798926912.776015,3,2019,karnataka,6288
belagavi district,2722900,3771202585.888157,3,2019,karnataka,6289
kolar district,1615545,2946242408.271874,3,2019,karnataka,6290
uttara kannada district,660223,937085015.2821138,3,2019,karnataka,6291
tumakuru district,1878003,3158249577.001503,3,2019,karnataka,6292
yadgir district,331943,777674785.0658498,3,2019,karnataka,6293
bengaluru urban district,131234422,150244275641.79712,3,2019,karnataka,6294
chikkaballapura district,1105172,2134493307.1800935,3,2019,karnataka,6295
davanagere district,1351913,2163728718.7321463,3,2019,karnataka,6296
bagalkote district,959443,1524098889.226618,3,2019,karnataka,6297
vijayapura district,1199591,2163978249.4202123,3,2019,karnataka,6298
koppal district,579391,1109392478.0717258,3,2019,karnataka,6299
bidar district,929774,1874680074.467776,3,2019,karnataka,6300
bengaluru rural district,3070784,4619041821.916123,3,2019,karnataka,6301
raichur district,983058,1951946628.543832,3,2019,karnataka,6302
chamarajanagara district,290920,522262756.81006193,3,2019,karnataka,6303
dakshina kannada district,3129205,4761473404.878738,3,2019,karnataka,6304
hassan district,941322,1927647326.569698,3,2019,karnataka,6305
dharwad district,3529480,4405498989.367172,3,2019,karnataka,6306
shivamogga district,1158823,1817498335.369549,3,2019,karnataka,6307
udupi district,707717,912774613.24923,3,2019,karnataka,6308
gadag district,468612,756916365.9954008,3,2019,karnataka,6309
mysuru district,6009700,8812951678.185421,4,2019,karnataka,6310
chitradurga district,1067103,2002316772.868118,4,2019,karnataka,6311
kalaburagi district,1798526,3564569593.554303,4,2019,karnataka,6312
ramanagara district,1984361,3325299266.778009,4,2019,karnataka,6313
mandya district,1649217,3229657460.81484,4,2019,karnataka,6314
kodagu district,431268,720368458.7957823,4,2019,karnataka,6315
chikkamagaluru district,808717,1380891787.532182,4,2019,karnataka,6316
haveri district,646052,1195895752.7241912,4,2019,karnataka,6317
ballari district,3167702,5649113297.43831,4,2019,karnataka,6318
belagavi district,3807962,5664222342.192615,4,2019,karnataka,6319
kolar district,2360285,4256924114.1601815,4,2019,karnataka,6320
uttara kannada district,922743,1403249288.8339632,4,2019,karnataka,6321
tumakuru district,2873750,4751005895.145699,4,2019,karnataka,6322
yadgir district,469575,1170814340.5490122,4,2019,karnataka,6323
bengaluru urban district,180458808,199966708446.8142,4,2019,karnataka,6324
chikkaballapura district,1570925,3159592090.231926,4,2019,karnataka,6325
davanagere district,2063312,3345622513.65398,4,2019,karnataka,6326
bagalkote district,1294034,2292815308.755463,4,2019,karnataka,6327
vijayapura district,1705336,3251735280.345185,4,2019,karnataka,6328
koppal district,828400,1661869404.8229642,4,2019,karnataka,6329
bidar district,1354884,2910548028.0352693,4,2019,karnataka,6330
bengaluru rural district,4458453,6512032486.840271,4,2019,karnataka,6331
raichur district,1490992,3050353281.999224,4,2019,karnataka,6332
chamarajanagara district,410150,784422903.3923473,4,2019,karnataka,6333
dakshina kannada district,4307358,6266562292.312676,4,2019,karnataka,6334
hassan district,1386630,2890517586.098419,4,2019,karnataka,6335
dharwad district,4934246,6425417517.094139,4,2019,karnataka,6336
shivamogga district,1782120,2820880194.725874,4,2019,karnataka,6337
udupi district,1073447,1392442535.919814,4,2019,karnataka,6338
gadag district,680196,1188343526.612237,4,2019,karnataka,6339
mysuru district,8069105,13036685203.223091,1,2020,karnataka,6340
chitradurga district,1429747,2626154899.977052,1,2020,karnataka,6341
kalaburagi district,2328594,4631840960.1782255,1,2020,karnataka,6342
ramanagara district,2539779,4245435911.387671,1,2020,karnataka,6343
mandya district,2204678,4312506529.5597,1,2020,karnataka,6344
kodagu district,506914,892550887.3595694,1,2020,karnataka,6345
chikkamagaluru district,959731,1660570854.450953,1,2020,karnataka,6346
haveri district,877565,1597337190.260362,1,2020,karnataka,6347
ballari district,3903343,7053379784.876897,1,2020,karnataka,6348
belagavi district,4316092,6363752952.026526,1,2020,karnataka,6349
kolar district,3093003,5550612726.131468,1,2020,karnataka,6350
uttara kannada district,1040619,1583481410.974335,1,2020,karnataka,6351
tumakuru district,3872833,6659223682.826368,1,2020,karnataka,6352
yadgir district,652496,1622925509.814738,1,2020,karnataka,6353
bengaluru urban district,200174352,231970686013.7528,1,2020,karnataka,6354
chikkaballapura district,2047103,4013876477.440405,1,2020,karnataka,6355
davanagere district,2704786,4892688445.76934,1,2020,karnataka,6356
bagalkote district,1612647,2848817825.085837,1,2020,karnataka,6357
vijayapura district,2114247,3966541860.632555,1,2020,karnataka,6358
koppal district,1133585,2209262842.626777,1,2020,karnataka,6359
bidar district,1808853,3723442388.449338,1,2020,karnataka,6360
bengaluru rural district,5260930,7794174929.658327,1,2020,karnataka,6361
raichur district,1924790,3941437359.3411713,1,2020,karnataka,6362
chamarajanagara district,553272,1029877709.82439,1,2020,karnataka,6363
dakshina kannada district,4233207,7157456163.571186,1,2020,karnataka,6364
hassan district,1812274,3716555553.174236,1,2020,karnataka,6365
dharwad district,5171963,6715983685.589501,1,2020,karnataka,6366
shivamogga district,2394183,4229300190.926717,1,2020,karnataka,6367
udupi district,1399840,1843787355.1339333,1,2020,karnataka,6368
gadag district,893359,1511707695.3671951,1,2020,karnataka,6369
mysuru district,7184930,13106859536.05784,2,2020,karnataka,6370
chitradurga district,2118154,3711671026.847204,2,2020,karnataka,6371
kalaburagi district,3019911,6189980486.812849,2,2020,karnataka,6372
ramanagara district,2814041,4746064695.434831,2,2020,karnataka,6373
mandya district,2804235,5215911416.961924,2,2020,karnataka,6374
kodagu district,640336,1015841839.584493,2,2020,karnataka,6375
chikkamagaluru district,1376548,2254645075.463206,2,2020,karnataka,6376
haveri district,1232235,2208795764.157361,2,2020,karnataka,6377
ballari district,4733742,8629333001.029207,2,2020,karnataka,6378
belagavi district,4972764,8395766920.028915,2,2020,karnataka,6379
kolar district,3965696,6790159344.716665,2,2020,karnataka,6380
uttara kannada district,1401701,1912236201.332728,2,2020,karnataka,6381
tumakuru district,4836880,8510119360.526954,2,2020,karnataka,6382
yadgir district,996282,2425403532.3360863,2,2020,karnataka,6383
bengaluru urban district,132120979,176357097466.7659,2,2020,karnataka,6384
chikkaballapura district,2650503,4966625322.511407,2,2020,karnataka,6385
davanagere district,3025086,5508343020.299786,2,2020,karnataka,6386
bagalkote district,2110909,4002269578.80992,2,2020,karnataka,6387
vijayapura district,2779449,5624135328.809128,2,2020,karnataka,6388
koppal district,1520618,2917566000.189114,2,2020,karnataka,6389
bidar district,2721584,5080725120.068466,2,2020,karnataka,6390
bengaluru rural district,4985176,7327672246.467525,2,2020,karnataka,6391
raichur district,2539004,5656069355.298939,2,2020,karnataka,6392
chamarajanagara district,810039,1319001489.301943,2,2020,karnataka,6393
dakshina kannada district,3531912,6376675751.895021,2,2020,karnataka,6394
hassan district,2466013,4597170471.807137,2,2020,karnataka,6395
dharwad district,4199998,6626617210.413645,2,2020,karnataka,6396
shivamogga district,3119744,5814372127.285876,2,2020,karnataka,6397
udupi district,1422997,1890958755.877011,2,2020,karnataka,6398
gadag district,1120246,1926789573.049576,2,2020,karnataka,6399
mysuru district,9675261,17597207367.35011,3,2020,karnataka,6400
chitradurga district,2668335,5093059094.127508,3,2020,karnataka,6401
kalaburagi district,3985999,8540463933.472765,3,2020,karnataka,6402
ramanagara district,3857792,6868892174.870599,3,2020,karnataka,6403
mandya district,3414341,7045696607.512827,3,2020,karnataka,6404
kodagu district,864653,1484649695.232455,3,2020,karnataka,6405
chikkamagaluru district,1770575,3204755845.405322,3,2020,karnataka,6406
haveri district,1610868,2997480441.814833,3,2020,karnataka,6407
ballari district,6483038,12217179442.791113,3,2020,karnataka,6408
belagavi district,7078363,12764674160.44711,3,2020,karnataka,6409
kolar district,5319243,10255312905.94818,3,2020,karnataka,6410
uttara kannada district,1739526,2695792104.714691,3,2020,karnataka,6411
tumakuru district,6090300,11453537750.655708,3,2020,karnataka,6412
yadgir district,1187896,2891471242.1437573,3,2020,karnataka,6413
bengaluru urban district,188947684,261095181780.0901,3,2020,karnataka,6414
chikkaballapura district,3502237,7428337958.70154,3,2020,karnataka,6415
davanagere district,5205295,10283937898.61303,3,2020,karnataka,6416
bagalkote district,2852266,5776387765.783536,3,2020,karnataka,6417
vijayapura district,3761144,8003746941.635164,3,2020,karnataka,6418
koppal district,2037116,4024163868.932729,3,2020,karnataka,6419
bidar district,3305705,6687478292.352659,3,2020,karnataka,6420
bengaluru rural district,7596076,11770793408.19216,3,2020,karnataka,6421
raichur district,3282229,7181366788.459692,3,2020,karnataka,6422
chamarajanagara district,931206,1800992219.524947,3,2020,karnataka,6423
dakshina kannada district,5509516,10219448161.55705,3,2020,karnataka,6424
hassan district,3100603,6405222177.752996,3,2020,karnataka,6425
dharwad district,6653211,10834407900.60387,3,2020,karnataka,6426
shivamogga district,4533533,8599350580.43852,3,2020,karnataka,6427
udupi district,1879859,2765993461.281321,3,2020,karnataka,6428
gadag district,1516661,2753533726.27555,3,2020,karnataka,6429
mysuru district,14314966,24721321665.94515,4,2020,karnataka,6430
chitradurga district,3837391,7600991609.367609,4,2020,karnataka,6431
kalaburagi district,6040954,12627718005.27601,4,2020,karnataka,6432
ramanagara district,5702541,10176732532.12098,4,2020,karnataka,6433
mandya district,4908339,10250617415.24653,4,2020,karnataka,6434
kodagu district,1378387,2414955954.59996,4,2020,karnataka,6435
chikkamagaluru district,2641832,4992605338.457241,4,2020,karnataka,6436
haveri district,2426895,4543883457.159707,4,2020,karnataka,6437
ballari district,9772557,18739492904.57657,4,2020,karnataka,6438
belagavi district,10147281,18131720291.44362,4,2020,karnataka,6439
kolar district,7877407,14873069326.11691,4,2020,karnataka,6440
uttara kannada district,2667563,4460758062.022853,4,2020,karnataka,6441
tumakuru district,8893778,16914412572.22433,4,2020,karnataka,6442
yadgir district,1767141,4394551584.79969,4,2020,karnataka,6443
bengaluru urban district,267720411,352536741958.4486,4,2020,karnataka,6444
chikkaballapura district,4952668,10592481164.6092,4,2020,karnataka,6445
davanagere district,7262656,14015672346.829773,4,2020,karnataka,6446
bagalkote district,4166298,8472795712.359591,4,2020,karnataka,6447
vijayapura district,5433260,11453048337.93993,4,2020,karnataka,6448
koppal district,3144655,6272905723.29322,4,2020,karnataka,6449
bidar district,4874329,10175605486.38469,4,2020,karnataka,6450
bengaluru rural district,11780762,18175304366.257156,4,2020,karnataka,6451
raichur district,4812779,10512812486.90511,4,2020,karnataka,6452
chamarajanagara district,1419599,2862512344.89718,4,2020,karnataka,6453
dakshina kannada district,7794258,13295138020.86674,4,2020,karnataka,6454
hassan district,4590150,9743350925.375175,4,2020,karnataka,6455
dharwad district,9872445,15011234195.503431,4,2020,karnataka,6456
shivamogga district,6063929,11470058678.18498,4,2020,karnataka,6457
udupi district,3017320,4525865271.0572,4,2020,karnataka,6458
gadag district,2254433,4078340826.749055,4,2020,karnataka,6459
mysuru district,17089151,28183406863.66486,1,2021,karnataka,6460
chitradurga district,3714510,7565985784.453019,1,2021,karnataka,6461
kalaburagi district,6439886,13881496062.28666,1,2021,karnataka,6462
ramanagara district,5830609,10303526389.686378,1,2021,karnataka,6463
mandya district,5158134,10841975091.163109,1,2021,karnataka,6464
kodagu district,1380725,2645865957.006945,1,2021,karnataka,6465
chikkamagaluru district,2605701,5185000583.956051,1,2021,karnataka,6466
haveri district,2390787,4651874088.262499,1,2021,karnataka,6467
ballari district,9904822,18837260510.48218,1,2021,karnataka,6468
belagavi district,10602642,18931041051.05792,1,2021,karnataka,6469
kolar district,7957144,14724582470.43729,1,2021,karnataka,6470
uttara kannada district,2580942,4520088579.643313,1,2021,karnataka,6471
tumakuru district,9386009,17694897997.48607,1,2021,karnataka,6472
yadgir district,1755607,4623935210.174469,1,2021,karnataka,6473
bengaluru urban district,348712787,432401341231.767,1,2021,karnataka,6474
chikkaballapura district,5027581,10585085072.14928,1,2021,karnataka,6475
davanagere district,9322884,17155680177.78376,1,2021,karnataka,6476
bagalkote district,4033439,8239831522.642423,1,2021,karnataka,6477
vijayapura district,5145667,11170578518.36837,1,2021,karnataka,6478
koppal district,3042763,6139670045.277093,1,2021,karnataka,6479
bidar district,5209226,10925907352.23449,1,2021,karnataka,6480
bengaluru rural district,12387231,18735722156.72461,1,2021,karnataka,6481
raichur district,4719196,10717943675.71631,1,2021,karnataka,6482
chamarajanagara district,1380973,2890358122.602378,1,2021,karnataka,6483
dakshina kannada district,9626991,15430015647.49452,1,2021,karnataka,6484
hassan district,4852456,10472109758.71391,1,2021,karnataka,6485
dharwad district,11396406,16320416665.27951,1,2021,karnataka,6486
shivamogga district,6961180,12979261424.24398,1,2021,karnataka,6487
udupi district,2999356,4318595833.417577,1,2021,karnataka,6488
gadag district,2182687,3921903568.216193,1,2021,karnataka,6489
mysuru district,17372316,30853150362.62557,2,2021,karnataka,6490
chitradurga district,4896289,9780802178.160032,2,2021,karnataka,6491
kalaburagi district,8337112,17652070457.627487,2,2021,karnataka,6492
ramanagara district,6647943,12386904951.91838,2,2021,karnataka,6493
mandya district,6206906,13463242356.880371,2,2021,karnataka,6494
kodagu district,1492581,2767308186.897503,2,2021,karnataka,6495
chikkamagaluru district,3111459,6149407549.81893,2,2021,karnataka,6496
haveri district,3110220,6197739534.751736,2,2021,karnataka,6497
ballari district,11601049,23117810388.09654,2,2021,karnataka,6498
belagavi district,12215950,23772477631.26698,2,2021,karnataka,6499
kolar district,9352225,17435526726.61021,2,2021,karnataka,6500
uttara kannada district,2905076,5000306105.601377,2,2021,karnataka,6501
tumakuru district,10841529,21263359141.53496,2,2021,karnataka,6502
yadgir district,2452409,6281841237.85188,2,2021,karnataka,6503
bengaluru urban district,326804307,444422398357.6775,2,2021,karnataka,6504
chikkaballapura district,6109863,12849313743.8045,2,2021,karnataka,6505
davanagere district,11241732,21560667430.36194,2,2021,karnataka,6506
bagalkote district,4997178,10550185654.53331,2,2021,karnataka,6507
vijayapura district,6396225,14538509045.27312,2,2021,karnataka,6508
koppal district,4159197,8437126899.16258,2,2021,karnataka,6509
bidar district,6915969,13527998469.21296,2,2021,karnataka,6510
bengaluru rural district,12594743,19987071189.389824,2,2021,karnataka,6511
raichur district,5962067,14265747344.59859,2,2021,karnataka,6512
chamarajanagara district,1805479,3528159373.134807,2,2021,karnataka,6513
dakshina kannada district,10734091,18919204047.50371,2,2021,karnataka,6514
hassan district,5982873,12792200404.23438,2,2021,karnataka,6515
dharwad district,11462786,18982715974.0801,2,2021,karnataka,6516
shivamogga district,8867928,17168519411.926352,2,2021,karnataka,6517
udupi district,3271925,5054042664.029269,2,2021,karnataka,6518
gadag district,2799619,5181344411.4823885,2,2021,karnataka,6519
mysuru district,25045268,42793900020.64541,3,2021,karnataka,6520
chitradurga district,6231545,12308859087.12011,3,2021,karnataka,6521
kalaburagi district,10665776,20950668881.30024,3,2021,karnataka,6522
ramanagara district,8835685,15882834743.06268,3,2021,karnataka,6523
mandya district,7929522,16634412671.450672,3,2021,karnataka,6524
kodagu district,2090601,3866527644.369034,3,2021,karnataka,6525
chikkamagaluru district,4321253,8373702713.439055,3,2021,karnataka,6526
haveri district,4071322,7598806899.828201,3,2021,karnataka,6527
ballari district,15360429,28402193277.23892,3,2021,karnataka,6528
belagavi district,17022354,30762343874.29098,3,2021,karnataka,6529
kolar district,12345736,22985772793.696877,3,2021,karnataka,6530
uttara kannada district,3997228,6788107042.030696,3,2021,karnataka,6531
tumakuru district,14242057,27175810122.44619,3,2021,karnataka,6532
yadgir district,2968202,7164867020.281796,3,2021,karnataka,6533
bengaluru urban district,476485560,626123198813.8513,3,2021,karnataka,6534
chikkaballapura district,7969287,16926839574.708672,3,2021,karnataka,6535
davanagere district,15967687,28564688330.342182,3,2021,karnataka,6536
bagalkote district,6681929,13216790982.37914,3,2021,karnataka,6537
vijayapura district,8525361,17965404016.832653,3,2021,karnataka,6538
koppal district,5371719,10331849991.77075,3,2021,karnataka,6539
bidar district,8687234,16065409114.533962,3,2021,karnataka,6540
bengaluru rural district,18220951,28063157056.12936,3,2021,karnataka,6541
raichur district,7622542,16847864115.93338,3,2021,karnataka,6542
chamarajanagara district,2245885,4612190943.282971,3,2021,karnataka,6543
dakshina kannada district,15180931,25279637809.21226,3,2021,karnataka,6544
hassan district,7941626,16403399916.30698,3,2021,karnataka,6545
dharwad district,17187010,26053988751.02021,3,2021,karnataka,6546
shivamogga district,12112810,22070915047.78282,3,2021,karnataka,6547
udupi district,4312053,6508822562.961538,3,2021,karnataka,6548
gadag district,3656976,6511775339.361624,3,2021,karnataka,6549
mysuru district,31839861,52946045330.89639,4,2021,karnataka,6550
chitradurga district,7474376,14560428980.08201,4,2021,karnataka,6551
kalaburagi district,13349587,26451488965.63411,4,2021,karnataka,6552
ramanagara district,10827530,18992856972.66629,4,2021,karnataka,6553
mandya district,9802476,20006664449.04356,4,2021,karnataka,6554
kodagu district,2826193,5100881378.425953,4,2021,karnataka,6555
chikkamagaluru district,5505712,10518135301.355188,4,2021,karnataka,6556
haveri district,4957707,9220800926.1956,4,2021,karnataka,6557
ballari district,18819499,34087192109.87003,4,2021,karnataka,6558
belagavi district,22398086,39314016545.15853,4,2021,karnataka,6559
kolar district,14712839,26179750345.18042,4,2021,karnataka,6560
uttara kannada district,5249512,9102945420.969872,4,2021,karnataka,6561
tumakuru district,17549961,32086008651.86034,4,2021,karnataka,6562
yadgir district,3619421,8475580979.299593,4,2021,karnataka,6563
bengaluru urban district,584958847,755926042210.8082,4,2021,karnataka,6564
chikkaballapura district,9562085,19411029582.91738,4,2021,karnataka,6565
davanagere district,19885521,34700043233.80145,4,2021,karnataka,6566
bagalkote district,8508880,16264812662.15533,4,2021,karnataka,6567
vijayapura district,10780905,21912610698.28541,4,2021,karnataka,6568
koppal district,6635768,12492370832.95604,4,2021,karnataka,6569
bidar district,10187097,19817202480.15258,4,2021,karnataka,6570
bengaluru rural district,22522389,33858680417.976254,4,2021,karnataka,6571
raichur district,9278851,19356588626.5687,4,2021,karnataka,6572
